Player,keepers_Nation,keepers_Pos,keepers_Squad,keepers_Comp,keepers_Age,keepers_Born,keepers_MP,keepers_Starts,keepers_Min,keepers_90s,keepers_GA,keepers_GA90,keepers_SoTA,keepers_Saves,keepers_Save%,keepers_W,keepers_D,keepers_L,keepers_CS,keepers_CS%,keepers_PKatt,keepers_PKA,keepers_PKsv,keepers_PKm,keepers_Save%_1,keepersadv_Nation,keepersadv_Pos,keepersadv_Squad,keepersadv_Comp,keepersadv_Age,keepersadv_Born,keepersadv_90s,keepersadv_GA,keepersadv_PKA,keepersadv_FK,keepersadv_CK,keepersadv_OG,keepersadv_PSxG,keepersadv_PSxG/SoT,keepersadv_PSxG+/-,keepersadv_/90,keepersadv_Cmp,keepersadv_Att,keepersadv_Cmp%,keepersadv_Att (GK),keepersadv_Thr,keepersadv_Launch%,keepersadv_AvgLen,keepersadv_Att_1,keepersadv_Launch%_1,keepersadv_AvgLen_1,keepersadv_Opp,keepersadv_Stp,keepersadv_Stp%,keepersadv_#OPA,keepersadv_#OPA/90,keepersadv_AvgDist
Carlos Acevedo,mx MEX,GK,Santos,Liga MX,28-297,1996,22,22,"1,980",22.0,42,1.91,130,91,69.2,2,4,16,2,9.1,3,2,1,0,33.3,mx MEX,GK,Santos,Liga MX,28-297,1996,22.0,42,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gil Alcalá,mx MEX,GK,UNAM,Liga MX,32-196,1992,4,4,360,4.0,2,0.5,9,7,77.8,2,1,1,3,75.0,0,0,0,0,0.0,mx MEX,GK,UNAM,Liga MX,32-196,1992,4.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guillermo Allison,mx MEX,GK,Querétaro,Liga MX,34-138,1990,23,23,"2,070",23.0,38,1.65,116,84,71.6,5,4,14,4,17.4,7,5,2,0,28.6,mx MEX,GK,Querétaro,Liga MX,34-138,1990,23.0,38,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Esteban Andrada,ar ARG,GK,Monterrey,Liga MX,34-015,1991,20,20,"1,800",20.0,26,1.3,82,60,73.2,8,7,5,6,30.0,4,4,0,0,0.0,ar ARG,GK,Monterrey,Liga MX,34-015,1991,20.0,26,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Ángel Malagón,mx MEX,GK,América,Liga MX,27-345,1997,20,20,"1,800",20.0,21,1.05,68,49,72.1,12,3,5,6,30.0,2,2,0,0,0.0,mx MEX,GK,América,Liga MX,27-345,1997,20.0,21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Antonio Rodríguez,mx MEX,GK,Tijuana,Liga MX,32-221,1992,13,13,"1,160",12.9,22,1.71,72,51,70.8,6,4,3,1,7.7,1,1,0,0,0.0,mx MEX,GK,Tijuana,Liga MX,32-221,1992,12.9,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfonso Blanco Antúnez,mx MEX,GK,León,Liga MX,37-194,1987,20,20,"1,800",20.0,26,1.3,103,80,77.7,6,9,5,5,25.0,3,3,0,0,0.0,mx MEX,GK,León,Liga MX,37-194,1987,20.0,26,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Cárdenas,mx MEX,GK,Monterrey,Liga MX,31-148,1993,3,3,270,3.0,3,1.0,15,12,80.0,2,0,1,1,33.3,0,0,0,0,0.0,mx MEX,GK,Monterrey,Liga MX,31-148,1993,3.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Corona,mx MEX,GK,Tijuana,Liga MX,44-015,1981,11,10,910,10.1,18,1.78,49,34,67.3,3,2,5,2,20.0,3,2,1,0,33.3,mx MEX,GK,Tijuana,Liga MX,44-015,1981,10.1,18,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodolfo Cota,mx MEX,GK,América,Liga MX,37-222,1987,3,3,270,3.0,3,1.0,10,7,70.0,1,1,1,1,33.3,0,0,0,0,0.0,mx MEX,GK,América,Liga MX,37-222,1987,3.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benny Díaz,mx MEX,GK,FC Juárez,Liga MX,26-057,1998,11,11,990,11.0,26,2.36,55,34,61.8,4,0,7,2,18.2,5,5,0,0,0.0,mx MEX,GK,FC Juárez,Liga MX,26-057,1998,11.0,26,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Felipe Rodríguez,mx MEX,GK,UANL,Liga MX,35-313,1989,3,3,270,3.0,1,0.33,10,9,90.0,2,1,0,2,66.7,0,0,0,0,0.0,mx MEX,GK,UANL,Liga MX,35-313,1989,3.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hugo González Durán,mx MEX,GK,Mazatlán,Liga MX,34-193,1990,23,23,"2,025",22.5,26,1.16,95,71,74.7,4,9,10,8,34.8,4,2,0,2,0.0,mx MEX,GK,Mazatlán,Liga MX,34-193,1990,22.5,26,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nahuel Guzmán,ar ARG,GK,UANL,Liga MX,39-000,1986,17,17,"1,530",17.0,17,1.0,65,49,75.4,10,3,4,5,29.4,2,1,0,1,0.0,ar ARG,GK,UANL,Liga MX,39-000,1986,17.0,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
