Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls_1,stats_Ast_1,stats_G+A_1,stats_G-PK_1,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp_1,passing_Att_1,passing_Cmp%_1,passing_Cmp_2,passing_Att_2,passing_Cmp%_2,passing_Cmp_3,passing_Att_3,passing_Cmp%_3,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive_1,gca_PassDead_1,gca_TO_1,gca_Sh_1,gca_Fld_1,gca_Def_1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl_1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
José Abella,mx MEX,DF,Santos,Liga MX,31-000,1994,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Santos,Liga MX,31-000,1994,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mx MEX,DF,Santos,Liga MX,31-000,1994,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Santos,Liga MX,31-000,1994,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Santos,Liga MX,31-000,1994,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Santos,Liga MX,31-000,1994,6.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,mx MEX,DF,Santos,Liga MX,31-000,1994,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Santos,Liga MX,31-000,1994,6,540,90,26.1,6.0,6,90,6,0,0,0,0.0,4,13,-9,-1.5,-0.97,mx MEX,DF,Santos,Liga MX,31-000,1994,6.0,0,0,0,4,7,0,17,7,8,0.0,0.0,0
José Abella,mx MEX,DF,FC Juárez,Liga MX,31-000,1994,17,11,"1,014",11.3,0,1,1,0,0,0,3,0,0.0,0.09,0.09,0.0,0.09,mx MEX,DF,Santos,Liga MX,31-000,1994,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mx MEX,DF,Santos,Liga MX,31-000,1994,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Santos,Liga MX,31-000,1994,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Santos,Liga MX,31-000,1994,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Santos,Liga MX,31-000,1994,6.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,mx MEX,DF,Santos,Liga MX,31-000,1994,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Santos,Liga MX,31-000,1994,6,540,90,26.1,6.0,6,90,6,0,0,0,0.0,4,13,-9,-1.5,-0.97,mx MEX,DF,Santos,Liga MX,31-000,1994,6.0,0,0,0,4,7,0,17,7,8,0.0,0.0,0
Carlos Acevedo,mx MEX,GK,Santos,Liga MX,28-297,1996,22,22,"1,980",22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Santos,Liga MX,28-297,1996,22.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mx MEX,GK,Santos,Liga MX,28-297,1996,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Santos,Liga MX,28-297,1996,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Santos,Liga MX,28-297,1996,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Santos,Liga MX,28-297,1996,22.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,mx MEX,GK,Santos,Liga MX,28-297,1996,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Santos,Liga MX,28-297,1996,22,"1,980",90,95.7,22.0,22,90,22,0,0,1,0.45,16,42,-26,-1.18,-9.18,mx MEX,GK,Santos,Liga MX,28-297,1996,22.0,1,0,0,0,1,0,0,0,0,0.0,0.0,0
Alonso Aceves,mx MEX,DF,Pachuca,Liga MX,23-319,2001,6,3,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Pachuca,Liga MX,23-319,2001,3.9,0,6,1,16.7,1.52,0.25,0.0,0.0,0.0,0,0,mx MEX,DF,Pachuca,Liga MX,23-319,2001,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Pachuca,Liga MX,23-319,2001,3.9,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Pachuca,Liga MX,23-319,2001,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Pachuca,Liga MX,23-319,2001,3.9,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,mx MEX,DF,Pachuca,Liga MX,23-319,2001,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Pachuca,Liga MX,23-319,2001,6,355,59,17.1,3.9,3,81,2,3,38,15,0.67,1,4,-3,-0.76,-0.45,mx MEX,DF,Pachuca,Liga MX,23-319,2001,3.9,1,0,0,2,3,0,8,2,6,0.0,0.0,0
Eduardo Águila,mx MEX,DF,Atlético,Liga MX,22-269,2002,20,19,"1,711",19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Atlético,Liga MX,22-269,2002,19.0,0,8,3,37.5,0.42,0.16,0.0,0.0,0.0,0,0,mx MEX,DF,Atlético,Liga MX,22-269,2002,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Atlético,Liga MX,22-269,2002,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Atlético,Liga MX,22-269,2002,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Atlético,Liga MX,22-269,2002,19.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,mx MEX,DF,Atlético,Liga MX,22-269,2002,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Atlético,Liga MX,22-269,2002,20,"1,711",86,82.7,19.0,19,90,19,1,1,2,1.38,25,28,-3,-0.16,-2.92,mx MEX,DF,Atlético,Liga MX,22-269,2002,19.0,2,0,0,14,3,0,1,20,16,0.0,0.0,0
Eduardo Aguirre,mx MEX,"FW,MF",Atlas,Liga MX,26-191,1998,21,17,"1,470",16.3,5,2,7,5,0,0,2,0,0.31,0.12,0.43,0.31,0.43,mx MEX,"FW,MF",Atlas,Liga MX,26-191,1998,16.3,5,37,15,40.5,2.27,0.92,0.14,0.33,0.0,0,0,mx MEX,"FW,MF",Atlas,Liga MX,26-191,1998,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,mx MEX,"FW,MF",Atlas,Liga MX,26-191,1998,16.3,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"FW,MF",Atlas,Liga MX,26-191,1998,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"FW,MF",Atlas,Liga MX,26-191,1998,16.3,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,mx MEX,"FW,MF",Atlas,Liga MX,26-191,1998,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"FW,MF",Atlas,Liga MX,26-191,1998,21,"1,470",70,71.0,16.3,17,78,4,4,37,1,1.22,20,24,-4,-0.24,0.06,mx MEX,"FW,MF",Atlas,Liga MX,26-191,1998,16.3,2,0,0,18,28,6,12,1,5,0.0,0.0,0
Érick Aguirre,mx MEX,DF,Monterrey,Liga MX,27-353,1997,12,11,765,8.5,0,2,2,0,0,0,2,0,0.0,0.24,0.24,0.0,0.24,mx MEX,DF,Monterrey,Liga MX,27-353,1997,8.5,0,3,1,33.3,0.35,0.12,0.0,0.0,0.0,0,0,mx MEX,DF,Monterrey,Liga MX,27-353,1997,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Monterrey,Liga MX,27-353,1997,8.5,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Monterrey,Liga MX,27-353,1997,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Monterrey,Liga MX,27-353,1997,8.5,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,mx MEX,DF,Monterrey,Liga MX,27-353,1997,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Monterrey,Liga MX,27-353,1997,12,765,64,37.0,8.5,11,69,4,1,6,7,1.44,13,10,3,0.35,0.08,mx MEX,DF,Monterrey,Liga MX,27-353,1997,8.5,2,0,0,10,5,3,30,12,16,0.0,0.0,0
Gaddi Aguirre,mx MEX,DF,Atlas,Liga MX,28-316,1996,16,6,615,6.8,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Atlas,Liga MX,28-316,1996,6.8,0,6,2,33.3,0.88,0.29,0.0,0.0,0.0,0,0,mx MEX,DF,Atlas,Liga MX,28-316,1996,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Atlas,Liga MX,28-316,1996,6.8,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Atlas,Liga MX,28-316,1996,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Atlas,Liga MX,28-316,1996,6.8,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,mx MEX,DF,Atlas,Liga MX,28-316,1996,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,Atlas,Liga MX,28-316,1996,16,615,38,29.7,6.8,6,75,4,10,17,6,1.44,9,12,-3,-0.44,-0.25,mx MEX,DF,Atlas,Liga MX,28-316,1996,6.8,4,1,1,12,8,0,4,14,7,0.0,0.0,0
Rodrigo Aguirre,uy URU,"FW,MF",América,Liga MX,30-132,1994,12,6,606,6.7,5,1,6,5,0,0,6,0,0.74,0.15,0.89,0.74,0.89,uy URU,"FW,MF",América,Liga MX,30-132,1994,6.7,5,25,14,56.0,3.71,2.08,0.2,0.36,0.0,0,0,uy URU,"FW,MF",América,Liga MX,30-132,1994,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,uy URU,"FW,MF",América,Liga MX,30-132,1994,6.7,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,"FW,MF",América,Liga MX,30-132,1994,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,"FW,MF",América,Liga MX,30-132,1994,6.7,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,uy URU,"FW,MF",América,Liga MX,30-132,1994,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,"FW,MF",América,Liga MX,30-132,1994,12,606,51,29.3,6.7,6,71,1,6,30,1,1.83,13,9,4,0.59,0.47,uy URU,"FW,MF",América,Liga MX,30-132,1994,6.7,6,0,0,19,7,1,4,2,9,0.0,0.0,0
Jorge Agustín Rodríguez,ar ARG,MF,Monterrey,Liga MX,29-148,1995,18,18,"1,575",17.5,1,0,1,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06,ar ARG,MF,Monterrey,Liga MX,29-148,1995,17.5,1,13,1,7.7,0.74,0.06,0.08,1.0,0.0,0,0,ar ARG,MF,Monterrey,Liga MX,29-148,1995,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Monterrey,Liga MX,29-148,1995,17.5,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Monterrey,Liga MX,29-148,1995,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Monterrey,Liga MX,29-148,1995,17.5,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,ar ARG,MF,Monterrey,Liga MX,29-148,1995,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Monterrey,Liga MX,29-148,1995,18,"1,575",88,76.1,17.5,18,88,17,0,0,2,1.54,24,23,1,0.06,-1.03,ar ARG,MF,Monterrey,Liga MX,29-148,1995,17.5,4,0,0,21,9,0,3,23,36,0.0,0.0,0
