Player,keepers_Nation,keepers_Pos,keepers_Squad,keepers_Comp,keepers_Age,keepers_Born,keepers_MP,keepers_Starts,keepers_Min,keepers_90s,keepers_GA,keepers_GA90,keepers_SoTA,keepers_Saves,keepers_Save%,keepers_W,keepers_D,keepers_L,keepers_CS,keepers_CS%,keepers_PKatt,keepers_PKA,keepers_PKsv,keepers_PKm,keepers_Save%_1,keepersadv_Nation,keepersadv_Pos,keepersadv_Squad,keepersadv_Comp,keepersadv_Age,keepersadv_Born,keepersadv_90s,keepersadv_GA,keepersadv_PKA,keepersadv_FK,keepersadv_CK,keepersadv_OG,keepersadv_PSxG,keepersadv_PSxG/SoT,keepersadv_PSxG+/-,keepersadv_/90,keepersadv_Cmp,keepersadv_Att,keepersadv_Cmp%,keepersadv_Att (GK),keepersadv_Thr,keepersadv_Launch%,keepersadv_AvgLen,keepersadv_Att_1,keepersadv_Launch%_1,keepersadv_AvgLen_1,keepersadv_Opp,keepersadv_Stp,keepersadv_Stp%,keepersadv_#OPA,keepersadv_#OPA/90,keepersadv_AvgDist
Gavin Beavers,us USA,GK,Real Salt Lake,MLS,18,2005,11,11,990,11.0,20,1.82,53,32,67.9,6,2,3,3,27.3,4,3,1,0,25.0,us USA,GK,Real Salt Lake,MLS,18,2005,11.0,20,3,3,2,0,18.7,0.28,-1.3,-0.12,31,106,29.2,290,64,27.9,30.2,72,34.7,33.9,153,16,10.5,14,1.27,15.6
Andre Blake,jm JAM,GK,Philadelphia Union,MLS,33,1990,14,14,"1,112",12.4,14,1.13,53,40,73.6,5,3,6,3,21.4,0,0,0,0,0.0,jm JAM,GK,Philadelphia Union,MLS,33,1990,12.4,14,0,0,2,1,15.5,0.3,2.5,0.2,41,99,41.4,202,53,26.2,29.5,85,54.1,42.7,177,8,4.5,7,0.57,12.7
Alex Bono,us USA,GK,D.C. United,MLS,29,1994,29,29,"2,610",29.0,55,1.9,128,75,59.4,10,9,10,2,6.9,3,3,0,0,0.0,us USA,GK,D.C. United,MLS,29,1994,29.0,55,3,1,6,2,49.9,0.37,-3.1,-0.11,300,649,46.2,860,110,56.2,41.2,190,87.4,58.9,347,14,4.0,58,2.0,19.6
Christopher Brady,us USA,GK,Chicago Fire,MLS,19,2004,33,33,"2,970",33.0,61,1.85,164,104,67.7,7,8,18,4,12.1,8,8,0,0,0.0,us USA,GK,Chicago Fire,MLS,19,2004,33.0,61,8,1,2,1,56.9,0.31,-3.1,-0.09,108,341,31.7,672,159,30.7,32.3,253,53.4,43.4,365,25,6.8,31,0.94,14.6
Roman Bürki,ch SUI,GK,St. Louis,MLS,33,1990,32,32,"2,821",31.3,55,1.75,152,100,67.1,8,13,11,7,21.9,6,5,1,0,16.7,ch SUI,GK,St. Louis,MLS,33,1990,31.3,55,5,1,2,4,58.6,0.36,7.6,0.24,185,467,39.6,961,122,39.8,36.9,170,50.0,44.6,398,12,3.0,41,1.31,15.6
Drake Callender,us USA,GK,Inter Miami,MLS,26,1997,32,32,"2,880",32.0,45,1.41,147,102,72.8,21,8,3,5,15.6,7,5,2,0,28.6,us USA,GK,Inter Miami,MLS,26,1997,32.0,45,5,0,6,2,46.5,0.28,3.5,0.11,78,250,31.2,867,175,20.9,28.2,249,27.7,30.7,419,35,8.4,27,0.84,11.7
Roman Celentano,us USA,GK,FC Cincinnati,MLS,23,2000,30,30,"2,700",30.0,42,1.4,129,89,71.3,16,5,9,7,23.3,5,5,0,0,0.0,us USA,GK,FC Cincinnati,MLS,23,2000,30.0,42,5,0,6,2,40.9,0.28,0.9,0.03,88,251,35.1,662,129,27.9,29.9,209,31.6,30.3,361,28,7.8,25,0.83,13.3
Steve Clark,us USA,GK,Houston Dynamo,MLS,37,1986,31,31,"2,772",30.8,34,1.1,127,94,76.4,14,8,9,8,25.8,4,4,0,0,0.0,us USA,GK,Houston Dynamo,MLS,37,1986,30.8,34,4,0,6,1,39.9,0.3,6.9,0.22,66,175,37.7,758,123,17.5,25.8,138,30.4,31.5,398,18,4.5,34,1.1,14.6
Carlos Coronel,py PAR,GK,NY Red Bulls,MLS,27,1996,27,27,"2,430",27.0,44,1.63,116,74,67.2,9,10,8,4,14.8,6,6,0,0,0.0,py PAR,GK,NY Red Bulls,MLS,27,1996,27.0,44,6,2,4,2,39.1,0.3,-2.9,-0.11,121,433,27.9,707,101,43.4,37.8,182,69.2,52.0,353,20,5.7,34,1.26,14.1
Maxime Crépeau,ca CAN,GK,Portland Timbers,MLS,29,1994,20,20,"1,757",19.5,38,1.95,88,51,59.1,5,7,8,1,5.0,3,2,0,1,0.0,ca CAN,GK,Portland Timbers,MLS,29,1994,19.5,38,2,0,7,1,33.4,0.36,-3.6,-0.18,117,261,44.8,628,99,32.6,33.0,133,42.1,38.3,264,27,10.2,33,1.69,15.5
